review_id,viewer_id,movie_id,rating,sentiment,review_text,review_date
1,315,10,3.2,neutral,Worth watching once.,2025-04-18
2,249,1,4.6,positive,Exceeded all my expectations. Watch it now.,2025-04-21
3,542,10,3.4,neutral,Worth watching once.,2025-04-12
4,258,1,5.0,positive,Absolutely loved it — best film I've seen this year.,2025-03-15
5,400,13,3.8,neutral,Enjoyable but forgettable.,2025-02-06
6,383,15,4.0,positive,Stunning visuals and great performances.,2025-04-24
7,378,13,4.0,positive,Stunning visuals and great performances.,2025-03-27
8,301,9,4.7,positive,Gripping from start to finish. Highly recommended.,2025-04-25
9,387,14,2.7,negative,Expected more from this cast.,2024-11-27
10,298,11,4.2,positive,One of the best of the decade.,2025-04-02
11,24,15,3.4,neutral,Enjoyable but forgettable.,2025-03-21
12,248,1,4.5,positive,One of the best of the decade.,2025-04-14
13,340,5,5.0,positive,Gripping from start to finish. Highly recommended.,2025-04-19
14,64,9,5.0,positive,Stunning visuals and great performances.,2025-01-09
15,299,2,3.3,neutral,Enjoyable but forgettable.,2025-03-06
16,214,14,1.5,negative,Expected more from this cast.,2024-08-08
17,126,12,4.5,positive,Exceeded all my expectations. Watch it now.,2025-02-22
18,145,2,4.4,positive,Absolutely loved it — best film I've seen this year.,2025-02-19
19,127,1,4.3,positive,One of the best of the decade.,2025-01-21
20,204,8,2.0,negative,Slow pacing and predictable plot.,2025-04-27
21,138,1,4.5,positive,Exceeded all my expectations. Watch it now.,2025-04-07
22,232,3,3.5,neutral,"Decent watch, nothing groundbreaking.",2025-04-17
23,518,13,3.5,neutral,Worth watching once.,2025-01-30
24,98,15,3.3,neutral,Worth watching once.,2025-01-21
25,538,13,3.8,neutral,"Decent watch, nothing groundbreaking.",2024-11-10
26,214,14,1.9,negative,Disappointed — not what the trailer promised.,2024-05-16
27,563,7,2.4,negative,Slow pacing and predictable plot.,2025-04-17
28,14,5,5.0,positive,Gripping from start to finish. Highly recommended.,2025-04-27
29,271,3,3.3,neutral,"Good performances, weak story.",2025-04-29
30,426,1,4.8,positive,Absolutely loved it — best film I've seen this year.,2025-04-04
31,355,9,3.6,neutral,Enjoyable but forgettable.,2025-04-28
32,319,1,5.0,positive,One of the best of the decade.,2025-01-24
33,589,12,4.9,positive,Stunning visuals and great performances.,2024-09-16
34,232,6,2.0,negative,Slow pacing and predictable plot.,2025-03-19
35,143,6,2.3,negative,Comedy fell flat throughout.,2025-02-21
36,162,1,4.8,positive,Gripping from start to finish. Highly recommended.,2025-04-02
37,282,8,2.5,negative,Expected more from this cast.,2025-04-23
38,95,4,4.6,positive,Stunning visuals and great performances.,2025-02-18
39,533,9,4.2,positive,One of the best of the decade.,2025-02-26
40,44,15,4.0,positive,Stunning visuals and great performances.,2025-02-23
41,405,1,4.8,positive,Exceeded all my expectations. Watch it now.,2025-03-11
42,48,15,4.0,positive,One of the best of the decade.,2025-03-11
43,19,1,4.7,positive,Absolutely loved it — best film I've seen this year.,2025-02-08
44,57,13,3.3,neutral,Somewhere between good and great.,2024-12-30
45,28,3,3.5,neutral,Worth watching once.,2025-03-31
46,75,9,4.3,positive,Stunning visuals and great performances.,2025-04-10
47,261,2,4.8,positive,Stunning visuals and great performances.,2025-03-25
48,441,1,4.5,positive,One of the best of the decade.,2025-03-26
49,497,2,3.7,neutral,Worth watching once.,2025-04-20
50,147,9,3.8,neutral,Somewhere between good and great.,2025-01-31
51,42,15,4.5,positive,Absolutely loved it — best film I've seen this year.,2024-11-15
52,568,3,3.6,neutral,"Decent watch, nothing groundbreaking.",2025-04-24
53,244,15,4.4,positive,Exceeded all my expectations. Watch it now.,2025-04-23
54,564,9,3.6,neutral,Somewhere between good and great.,2025-01-22
55,128,4,4.5,positive,Absolutely loved it — best film I've seen this year.,2025-02-27
56,463,9,4.6,positive,Absolutely loved it — best film I've seen this year.,2025-03-23
57,595,12,3.2,neutral,"Decent watch, nothing groundbreaking.",2025-03-13
58,588,2,4.0,positive,Gripping from start to finish. Highly recommended.,2025-02-10
59,170,10,3.5,neutral,Worth watching once.,2025-04-25
60,587,11,4.3,positive,Exceeded all my expectations. Watch it now.,2024-11-10
61,468,12,4.1,positive,Absolutely loved it — best film I've seen this year.,2025-04-04
62,149,5,4.1,positive,One of the best of the decade.,2025-04-30
63,255,3,3.2,neutral,Enjoyable but forgettable.,2025-04-12
64,302,7,3.3,neutral,"Decent watch, nothing groundbreaking.",2025-04-28
65,200,5,4.4,positive,Gripping from start to finish. Highly recommended.,2025-04-11
