viewer_id,age,gender,city,country,subscription_tier,preferred_genre,join_date
1,58,M,Mumbai,India,premium,Drama,2023-05-17
2,32,M,London,UK,premium,Thriller,2022-06-28
3,55,F,Mumbai,India,free,Sci-Fi,2023-03-24
4,32,Non-binary,Mumbai,India,premium,Action,2025-01-21
5,44,M,Sydney,Australia,premium,Drama,2022-01-14
6,28,Non-binary,Berlin,Germany,standard,Drama,2022-11-15
7,31,F,London,UK,free,Comedy,2022-07-18
8,40,F,Tokyo,Japan,free,Comedy,2025-01-03
9,25,F,London,UK,premium,Drama,2024-01-11
10,54,M,London,UK,free,Action,2023-08-16
11,23,M,London,UK,standard,Drama,2024-07-17
12,58,F,New York,USA,standard,Drama,2023-03-06
13,60,F,London,UK,premium,Action,2024-12-29
14,64,M,New York,USA,standard,Comedy,2023-07-07
15,58,Non-binary,São Paulo,Brazil,premium,Drama,2022-04-25
16,32,M,Lagos,Nigeria,standard,Drama,2022-05-16
17,31,Non-binary,Lagos,Nigeria,free,Comedy,2024-03-21
18,59,F,New York,USA,standard,Action,2023-05-21
19,53,Non-binary,Tokyo,Japan,premium,Thriller,2024-05-27
20,55,F,Lagos,Nigeria,free,Action,2024-11-09
21,49,M,Mumbai,India,free,Action,2022-11-24
22,61,F,London,UK,standard,Comedy,2024-08-16
23,51,F,Mumbai,India,premium,Sci-Fi,2025-01-04
24,35,Non-binary,Lagos,Nigeria,free,Drama,2024-06-09
25,28,F,Mumbai,India,premium,Drama,2024-10-22
26,29,Non-binary,London,UK,premium,Drama,2024-11-05
27,56,M,New York,USA,standard,Action,2025-01-09
28,51,M,Lagos,Nigeria,standard,Sci-Fi,2022-08-18
29,41,F,São Paulo,Brazil,free,Action,2022-06-11
30,23,Non-binary,Sydney,Australia,free,Thriller,2022-09-15
31,26,Non-binary,Sydney,Australia,premium,Action,2023-06-27
32,51,Non-binary,Berlin,Germany,free,Thriller,2023-02-16
33,63,F,Berlin,Germany,premium,Drama,2024-06-16
34,51,F,London,UK,free,Action,2022-05-12
35,39,M,São Paulo,Brazil,premium,Action,2022-01-15
36,22,Non-binary,Mumbai,India,free,Sci-Fi,2022-03-06
37,39,M,São Paulo,Brazil,standard,Comedy,2023-03-15
38,52,M,Sydney,Australia,free,Comedy,2024-04-13
39,30,M,London,UK,premium,Comedy,2023-12-27
40,45,F,Sydney,Australia,premium,Sci-Fi,2022-07-21
41,21,F,Lagos,Nigeria,free,Action,2023-01-28
42,30,Non-binary,Sydney,Australia,free,Comedy,2023-01-11
43,35,F,São Paulo,Brazil,free,Comedy,2025-02-01
44,24,M,Mumbai,India,free,Action,2022-12-07
45,44,F,Sydney,Australia,free,Comedy,2022-05-01
46,28,F,Mumbai,India,standard,Drama,2024-07-20
47,36,F,Sydney,Australia,free,Action,2023-08-31
48,31,M,Mumbai,India,premium,Drama,2022-04-28
49,21,Non-binary,Sydney,Australia,premium,Thriller,2022-11-19
50,21,Non-binary,London,UK,free,Sci-Fi,2022-05-20
51,61,M,Berlin,Germany,free,Thriller,2023-05-20
52,55,Non-binary,Mumbai,India,premium,Sci-Fi,2024-05-08
53,60,Non-binary,Lagos,Nigeria,standard,Action,2023-10-06
54,33,F,Berlin,Germany,free,Drama,2024-07-25
55,38,M,Mumbai,India,standard,Thriller,2025-02-27
56,24,M,São Paulo,Brazil,premium,Drama,2022-09-29
57,40,M,São Paulo,Brazil,standard,Drama,2022-11-20
58,46,Non-binary,Tokyo,Japan,premium,Thriller,2022-01-17
59,60,Non-binary,Tokyo,Japan,premium,Sci-Fi,2022-10-03
60,34,M,London,UK,premium,Thriller,2022-11-15
61,35,F,São Paulo,Brazil,premium,Drama,2023-02-21
62,61,Non-binary,Tokyo,Japan,premium,Comedy,2023-05-30
63,21,M,Berlin,Germany,standard,Sci-Fi,2022-01-08
64,39,M,Tokyo,Japan,free,Comedy,2025-02-03
65,63,F,Mumbai,India,free,Sci-Fi,2022-11-02
66,52,M,Lagos,Nigeria,premium,Thriller,2022-10-31
67,45,M,Mumbai,India,standard,Drama,2022-03-23
68,40,M,São Paulo,Brazil,premium,Sci-Fi,2023-12-26
69,53,F,New York,USA,free,Action,2022-12-29
70,44,M,New York,USA,premium,Drama,2024-04-23
71,60,Non-binary,São Paulo,Brazil,standard,Action,2022-08-10
72,42,M,Sydney,Australia,free,Action,2024-07-31
73,40,F,São Paulo,Brazil,free,Sci-Fi,2023-01-31
74,43,F,Tokyo,Japan,free,Drama,2023-12-21
75,59,Non-binary,Berlin,Germany,premium,Thriller,2023-11-10
76,19,M,Tokyo,Japan,free,Thriller,2023-06-28
77,20,M,Berlin,Germany,standard,Drama,2024-06-12
78,56,Non-binary,London,UK,standard,Thriller,2023-01-25
79,34,M,Berlin,Germany,free,Thriller,2025-01-07
80,61,Non-binary,São Paulo,Brazil,standard,Comedy,2022-05-24
81,60,F,Lagos,Nigeria,premium,Sci-Fi,2023-09-08
82,50,F,Berlin,Germany,standard,Comedy,2023-08-29
83,53,M,São Paulo,Brazil,standard,Comedy,2022-12-23
84,57,Non-binary,Tokyo,Japan,standard,Thriller,2022-01-01
85,37,F,São Paulo,Brazil,standard,Thriller,2023-10-22
86,47,F,Sydney,Australia,premium,Action,2024-11-12
87,48,Non-binary,New York,USA,premium,Sci-Fi,2023-08-05
88,50,Non-binary,Lagos,Nigeria,free,Action,2023-09-28
89,32,M,New York,USA,free,Sci-Fi,2023-05-17
90,48,Non-binary,London,UK,standard,Comedy,2023-02-03
91,63,Non-binary,Berlin,Germany,standard,Comedy,2023-05-15
92,27,Non-binary,Mumbai,India,free,Comedy,2023-03-25
93,29,Non-binary,Sydney,Australia,free,Thriller,2023-05-26
94,25,F,New York,USA,standard,Thriller,2025-02-18
95,56,F,Sydney,Australia,premium,Thriller,2024-05-23
96,53,F,New York,USA,premium,Comedy,2024-07-10
97,34,M,Tokyo,Japan,premium,Comedy,2023-05-05
98,35,F,London,UK,premium,Drama,2023-04-26
99,35,F,Lagos,Nigeria,premium,Sci-Fi,2022-10-11
100,27,M,Berlin,Germany,premium,Action,2023-03-15
101,22,F,Berlin,Germany,standard,Thriller,2024-08-12
102,44,M,São Paulo,Brazil,standard,Comedy,2022-02-10
103,54,F,Sydney,Australia,free,Drama,2023-09-04
104,42,F,São Paulo,Brazil,standard,Action,2023-07-13
105,45,F,Mumbai,India,standard,Drama,2024-04-08
106,64,M,Sydney,Australia,free,Thriller,2024-12-29
107,19,F,Mumbai,India,free,Comedy,2022-10-05
